3.215779662132263184e-01,3.322119712829589844e-01,3.462100028991699219e-01
3.217131495475769043e-01,3.321436941623687744e-01,3.461431562900543213e-01
3.218400776386260986e-01,3.320798873901367188e-01,3.460800349712371826e-01
3.219685554504394531e-01,3.320154547691345215e-01,3.460159897804260254e-01
3.220996856689453125e-01,3.319496810436248779e-01,3.459506034851074219e-01
3.222042024135589600e-01,3.318985998630523682e-01,3.458971679210662842e-01
3.222824633121490479e-01,3.318603634834289551e-01,3.458571434020996094e-01
3.223232924938201904e-01,3.318430483341217041e-01,3.458335995674133301e-01
3.223585486412048340e-01,3.318283855915069580e-01,3.458130359649658203e-01
3.223811388015747070e-01,3.318214416503906250e-01,3.457974493503570557e-01
3.223989009857177734e-01,3.318188488483428955e-01,3.457822501659393311e-01
3.224162161350250244e-01,3.318152725696563721e-01,3.457685410976409912e-01
3.224332928657531738e-01,3.318117260932922363e-01,3.457549810409545898e-01
3.224536478519439697e-01,3.318061232566833496e-01,3.457401990890502930e-01
3.224882781505584717e-01,3.317973911762237549e-01,3.457143604755401611e-01
3.225364983081817627e-01,3.317825794219970703e-01,3.456809222698211670e-01
3.225984275341033936e-01,3.317603170871734619e-01,3.456413149833679199e-01
3.226733803749084473e-01,3.317295312881469727e-01,3.455970585346221924e-01
3.227587640285491943e-01,3.316948115825653076e-01,3.455464243888854980e-01
3.228507637977600098e-01,3.316544294357299805e-01,3.454947769641876221e-01
3.229430317878723145e-01,3.316173851490020752e-01,3.454396128654479980e-01
3.230377435684204102e-01,3.315814733505249023e-01,3.453807532787322998e-01
3.231416642665863037e-01,3.315398097038269043e-01,3.453184962272644043e-01
3.232439756393432617e-01,3.315002918243408203e-01,3.452557027339935303e-01
3.233450949192047119e-01,3.314615190029144287e-01,3.451934158802032471e-01
3.234402835369110107e-01,3.314230442047119141e-01,3.451366722583770752e-01
3.235312998294830322e-01,3.313873112201690674e-01,3.450813293457031250e-01
3.236263096332550049e-01,3.313485085964202881e-01,3.450251817703247070e-01
3.237200081348419189e-01,3.313097357749938965e-01,3.449702262878417969e-01
3.238168060779571533e-01,3.312703371047973633e-01,3.449128866195678711e-01
3.239216208457946777e-01,3.312253654003143311e-01,3.448529839515686035e-01
3.240352571010589600e-01,3.311747014522552490e-01,3.447900414466857910e-01
3.241611123085021973e-01,3.311166465282440186e-01,3.447222709655761719e-01
3.242802917957305908e-01,3.310615718364715576e-01,3.446581363677978516e-01
3.244015574455261230e-01,3.310073018074035645e-01,3.445911407470703125e-01
3.245239257812500000e-01,3.309497833251953125e-01,3.445263206958770752e-01
3.246502280235290527e-01,3.308876454830169678e-01,3.444621264934539795e-01
3.247702419757843018e-01,3.308326601982116699e-01,3.443970680236816406e-01
3.248834311962127686e-01,3.307771384716033936e-01,3.443393707275390625e-01
3.250049054622650146e-01,3.307175338268280029e-01,3.442775309085845947e-01
3.251282572746276855e-01,3.306619822978973389e-01,3.442097604274749756e-01
3.252574503421783447e-01,3.306035399436950684e-01,3.441389799118041992e-01
